index,body_type,brand_name,color,fuel_type,model,with_auction,with_exchange,is_damaged,is_repaired,transmission,engine_volume,mileage_value,price,prod_date
24510473,Хэтчбек,Skoda,Красный,Газ/бензин,Fabia,1,0,0,0,Ручная / Механика,1.2,200000,6400.0,2012
24772621,Внедорожник / Кроссовер,Nissan,Черный,Дизель,X-Trail,1,0,0,0,Автомат,2.0,140000,27500.0,2017
25165843,Универсал,Volkswagen,Белый,Дизель,Passat B7,0,0,0,0,Автомат,2.0,215000,14700.0,2013
24379420,Внедорожник / Кроссовер,Land Rover,,Бензин,Range Rover,0,1,0,0,Автомат,5.0,97000,28500.0,2012
24903710,Самосвал,ЗИЛ,Синий,Газ/бензин,ММЗ 554,1,0,0,0,Ручная / Механика,6.0,27000,4100.0,1991
25165857,Хэтчбек,BMW,Синий,Бензин,4 Series Gran Coupe,1,0,0,0,Типтроник,2.0,63000,22000.0,2014
18350116,Седан,Mazda,Бежевый,Газ/бензин,6,1,0,0,0,Ручная / Механика,2.0,200000,5300.0,2004
24117284,Седан,Audi,Синий,Дизель,A6,1,1,0,0,Типтроник,2.5,302000,8000.0,2003
25034800,Универсал,Peugeot,Белый,Дизель,Bipper пасс.,0,0,0,0,Ручная / Механика,1.3,220000,6950.0,2010
24379442,Седан,Volkswagen,Серый,Дизель,Passat B7,1,1,0,0,Автомат,2.0,193000,12600.0,2012
24641590,Внедорожник / Кроссовер,Hyundai,Серый,Дизель,IX35,0,1,0,0,Автомат,2.0,154000,14760.0,2013
24248378,Универсал,Renault,Серый,Дизель,Megane,1,0,0,0,Ручная / Механика,1.5,278000,5300.0,2004
25165900,Универсал,Skoda,Черный,Дизель,Octavia A5,1,0,0,0,Ручная / Механика,1.6,223000,9100.0,2010
25165901,Внедорожник / Кроссовер,Volkswagen,Коричневый,Дизель,Touareg,0,1,0,0,Автомат,3.0,160000,31000.0,2012
24903762,Хэтчбек,Nissan,Серый,Бензин,Note,0,0,0,0,Ручная / Механика,1.6,135000,7550.0,2009
24903763,Тентованый,DAF,Синий,Дизель,LF,0,0,0,0,Ручная / Механика,5.88,393000,14290.0,2005
25034842,Седан,Hyundai,,,Azera,1,1,0,0,Автомат,3.0,77000,15999.0,2012
23330917,Внедорожник / Кроссовер,Toyota,Черный,Дизель,Hilux,0,0,1,0,Автомат,3.0,140000,6100.0,2012
24379493,Хэтчбек,Volkswagen,Белый,Дизель,Golf VI,0,1,0,0,Автомат,1.6,120000,12500.0,2012
25165936,Внедорожник / Кроссовер,Peugeot,Черный,Дизель,4007,1,0,0,0,Ручная / Механика,2.2,196000,10499.0,2009
24772721,"Легковой фургон (до 1,5 т)",Nissan,Серый,Дизель,Primastar пасс.,1,0,0,0,Ручная / Механика,2.0,360000,9500.0,2007
25165938,Внедорожник / Кроссовер,Hyundai,Серый,Бензин,Tucson,1,1,0,0,Автомат,2.0,115000,12500.0,2013
25034868,Хэтчбек,Citroen,Белый,Дизель,C4 Cactus,0,0,0,0,Адаптивная,1.6,72000,15200.0,2015
23986295,Седан,BMW,Серый,Дизель,520,0,0,0,0,Автомат,2.0,75000,29999.0,2016
25165952,Купе,Mitsubishi,Белый,Газ/бензин,Eclipse USA,1,0,0,0,Типтроник,2.4,131000,5800.0,2001
25034886,Платформа,Schwarzmuller,,,SPA,0,1,0,0,,0.0,400000,9500.0,2000
25034918,Внедорожник / Кроссовер,Hyundai,Черный,Дизель,Santa FE,0,0,0,0,Типтроник,2.2,75000,18500.0,2012
